"DATE","NYSE ADV.","NYSE DEC.","NYSE UP VOL (x 1000)","NYSE DN VOL (x 1000)","DJIA CLOSE","NYSE A-D","10% TREND A-D","5% TREND A-D","McC A-D OSC","McC A-D SUMMATION INDEX","A-D FOR OSC UNCH'D TOMORROW","A-D FOR OSC TO 0 TOMORROW","NYSE UV-DV (x 1000)","10% TREND UV-DV","5% TREND UV-DV","McC UV-DV OSC","McC VOL SUMMATION INDEX","UV-DV FOR OSC UNCH'D TOMORROW","UV-DV FOR OSC TO 0 TOMORROW","10% TREND","5% TREND","PRICE OSCILLATOR","PRICE FOR UNCHANGED OSCILLATOR"
15-Nov-12,999,2086,1628414,2193407,12542.38,-1087,-562.13,-278.46,-283.67,768.39,-846,4828,-564993,-766796,-443508,-323288,-1525491,-1090085,5375677,12979.01,13124.36,-145.34,12833.67
16-Nov-12,2287,800,2659065,1268343,12588.31,1487,-357.22,-190.19,-167.03,601.36,-524,2816,1390722,-551045,-351797,-199248,-1724738,-750292,3234663,12939.94,13097.55,-157.61,12782.33
19-Nov-12,2728,351,3068530,229304,12795.96,2377,-83.80,-61.83,-21.97,579.39,-106,334,2839226,-212018,-192246,-19772,-1744510,-231789,163648,12925.55,13082.47,-156.93,12768.62
20-Nov-12,1710,1325,1681374,1442644,12788.51,385,-36.92,-39.49,2.57,581.96,-34,-86,238730,-166943,-170697,3754,-1740756,-163189,-238271,12911.84,13067.78,-155.93,12755.91
21-Nov-12,2041,981,1821091,720892,12836.89,1060,72.77,15.48,57.29,639.25,130,-1016,1100199,-40229,-107152,66923,-1673833,26695,-1311775,12904.35,13056.23,-151.88,12752.46
23-Nov-12,2440,488,1407409,87476,13009.68,1952,260.70,112.31,148.39,787.63,409,-2559,1319933,95788,-35798,131585,-1542247,227373,-2404335,12914.88,13053.90,-139.02,12775.86
26-Nov-12,1323,1726,1116648,1700502,12967.37,-403,194.33,86.54,107.78,895.42,302,-1854,-583854,27823,-63201,91024,-1451223,118847,-1701634,12920.13,13049.58,-129.45,12790.68
27-Nov-12,1349,1695,1001778,2243314,12878.13,-346,140.29,64.92,75.38,970.79,216,-1292,-1241536,-99113,-122117,23005,-1428218,-76108,-536205,12915.93,13041.00,-125.08,12790.85
28-Nov-12,2083,928,2617813,631927,12985.11,1155,241.76,119.42,122.34,1093.13,364,-2083,1985886,109387,-16717,126105,-1302114,235492,-2286599,12922.85,13038.21,-115.36,12807.48
29-Nov-12,2166,859,2451297,806503,13021.82,1307,348.29,178.80,169.49,1262.62,518,-2872,1644794,262928,66358,196570,-1105544,459498,-3471896,12932.74,13037.39,-104.65,12828.10
